name,company,work_area,salary,requirements,company_type,company_size,field
java程序员,南宁进驰科技有限责任公司,南宁,0.8-1万/月,"['5-7年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师 / 软件工程师,拜椰特（上海）软件技术有限公司,上海-浦东新区,1-2万/月,"['2年经验', '本科']",民营公司,少于50人,计算机软件
C++ / Java  高级软件工程师,广州瑞多思医疗科技有限公司,广州-黄埔区,1.8-3万/月,"['5-7年经验', '本科']",民营公司,50-150人,医疗设备/器械
Java高级开发工程师,杭州诺德软件有限公司,杭州-拱墅区,1.2-2万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
JAVA软件工程师-保险,燕梭金融信息科技（上海）有限公司,上海-浦东新区,1-1.8万/月,"['1年经验', '本科']",民营公司,150-500人,计算机软件
JAVA开发工程师(全栈）,上海蓝色星球科技股份有限公司,上海,1-2万/月,"['1年经验', '本科']",上市公司,50-150人,计算机软件
Java中级开发工程师,北京英克信息科技有限公司,重庆,1-1.6万/月,"['5-7年经验', '大专']",民营公司,150-500人,计算机软件
Java开发工程师,无锡睿米信息技术有限公司,无锡-惠山区,0.8-1.5万/月,"['3-4年经验', '大专']",民营公司,150-500人,互联网/电子商务
Java开发工程师,上海楚多智能科技有限公司,上海-松江区,1-1.5万/月,"['2年经验', '大专']",民营公司,少于50人,仪器仪表/工业自动化
Java开发工程师（年终奖1-3薪）,上海盾壹科技有限公司,上海-闵行区,1.2-2万/月,"['3-4年经验', '大专']",民营公司,50-150人,计算机软件
JAVA开发工程师,南京维科通信有限公司,南京-栖霞区,1.2-1.8万/月,"['3-4年经验', '本科']",民营公司,少于50人,通信/电信/网络设备
Java高级开发工程师,襄阳智诚物联网科技有限公司,襄阳,0.8-1.2万/月,"['3-4年经验', '大专']",合资,50-150人,计算机软件
Java后端主程（游戏研发）,广州七七游网络科技有限公司,广州-天河区,1.8-2.5万/月,"['5-7年经验', '本科']",民营公司,50-150人,网络游戏
高级Java开发工程师,深圳市租享生活科技有限公司,深圳-南山区,1.8-2.5万/月,"['5-7年经验', '本科']",民营公司,150-500人,计算机软件
Java开发工程师,西安华线石油科技有限公司,西安,0.9-1.5万/月,"['3-4年经验', '本科']",民营公司,50-150人,石油/化工/矿产/地质
高级java软件开发工程师,中工数字科技（苏州）有限公司,苏州-工业园区,1-1.5万/月,"['3-4年经验', '大专']",创业公司,50-150人,计算机服务(系统、数据服务、维修)
高级java开发工程师,广东湛蓝科技有限公司广州分公司,广州-海珠区,2-2.5万/月,"['5-7年经验', '大专']",民营公司,1000-5000人,计算机服务(系统、数据服务、维修)
JAVA高级软件开发工程师,河南盘古科技发展有限公司,郑州-金水区,0.8-2万/月,"['5-7年经验', '本科']",民营公司,50-150人,计算机软件
Java开发工程师,深圳市思博创科技有限公司,深圳-福田区,1-1.5万/月,"['2年经验', '本科']",民营公司,50-150人,通信/电信/网络设备
JAVA / JSP 软件开发工程师,上海业奥通讯系统有限公司,上海-徐汇区,6-9千/月,"['1年经验', '本科']",民营公司,50-150人,计算机软件
java软件工程师,北京智信远景软件技术有限公司,西安,1-1.5万/月,"['无需经验', '大专']",民营公司,少于50人,计算机软件
Java开发工程师（五险一金+双休+带薪年假）,武汉长江仪器自动化研究所有限公司,武汉-江岸区,5-8千/月,"['2年经验', '大专']",国企,少于50人,仪器仪表/工业自动化
Java高级开发工程师,成都天晟云信息技术有限公司,成都-高新区,1.5-2万/月,"['8-9年经验', '大专']",民营公司,50-150人,计算机软件
Java高级开发工程师,杭州驿德科技有限公司,杭州-萧山区,1-2万/月,"['3-4年经验', '本科']",民营公司,少于50人,计算机软件
Java开发工程师,西人马（深圳）科技有限公司,深圳-南山区,1.5-2.5万/月,"['5-7年经验', '本科']",民营公司,50-150人,电子技术/半导体/集成电路
Java开发工程师,上海为畅信息技术有限公司,上海,6-8千/月,"['1年经验', '大专']",民营公司,少于50人,计算机软件
